Date,Price,#N/A,#N/A
9/27/22, $140.07 ,44831,
9/28/22, $140.91 ,44832,
9/29/22, $137.84 ,44833,
9/30/22, $136.66 ,44834,
10/3/22, $141.86 ,44837,
10/4/22, $143.66 ,44838,
10/5/22, $142.81 ,44839,
10/6/22, $140.36 ,44840,
10/7/22, $151.88 ,44841,
10/10/22, $152.75 ,44844,
10/11/22, $154.06 ,44845,
10/12/22, $153.91 ,44846,
10/13/22, $156.31 ,44847,
10/14/22, $148.11 ,44848,
10/17/22, $151.69 ,44851,
10/18/22, $153.62 ,44852,
10/19/22, $153.40 ,44853,
10/20/22, $151.91 ,44854,
10/21/22, $151.03 ,44855,
10/24/22, $152.03 ,44858,
10/25/22, $153.71 ,44859,
10/26/22, $152.52 ,44860,
10/27/22, $150.74 ,44861,
10/28/22, $154.33 ,44862,
10/31/22, $156.61 ,44865,
11/1/22, $155.08 ,44866,
11/2/22, $151.83 ,44867,
11/3/22, $149.75 ,44868,
11/4/22, $148.55 ,44869,
11/7/22, $150.93 ,44872,
11/8/22, $148.83 ,44873,
11/9/22, $147.39 ,44874,
11/10/22, $150.10 ,44875,
11/11/22, $149.91 ,44876,
11/14/22, $149.11 ,44879,
11/15/22, $147.92 ,44880,
11/16/22, $149.37 ,44881,
11/17/22, $150.03 ,44882,
11/18/22, $148.57 ,44883,
11/21/22, $148.45 ,44886,
11/22/22, $153.00 ,44887,
11/23/22, $153.75 ,44888,
11/25/22, $160.51 ,44890,
11/28/22, $160.73 ,44893,
11/29/22, $160.00 ,44894,
11/30/22, $162.84 ,44895,
12/1/22, $162.39 ,44896,
12/2/22, $164.99 ,44897,
12/5/22, $164.74 ,44900,
12/6/22, $162.06 ,44901,
12/7/22, $159.33 ,44902,
12/8/22, $160.71 ,44903,
12/9/22, $160.14 ,44904,
12/12/22, $160.88 ,44907,
12/13/22, $160.98 ,44908,
12/14/22, $160.42 ,44909,
12/15/22, $160.00 ,44910,
12/16/22, $160.22 ,44911,
12/19/22, $159.81 ,44914,
12/20/22, $162.99 ,44915,
12/21/22, $172.84 ,44916,
12/22/22, $177.57 ,44917,
12/23/22, $181.54 ,44918,
12/27/22, $183.05 ,44922,
12/28/22, $179.10 ,44923,
12/29/22, $181.48 ,44924,
12/30/22, $183.33 ,44925,
1/3/23, $181.27 ,44929,
1/4/23, $186.49 ,44930,
1/5/23, $184.00 ,44931,
1/6/23, $183.67 ,44932,
1/9/23, $183.49 ,44935,
1/10/23, $183.24 ,44936,
1/11/23, $181.01 ,44937,
1/12/23, $178.10 ,44938,
1/13/23, $179.62 ,44939,
1/17/23, $178.05 ,44943,
1/18/23, $177.42 ,44944,
1/19/23, $177.83 ,44945,
1/20/23, $181.78 ,44946,
1/23/23, $181.03 ,44949,
1/24/23, $180.74 ,44950,
1/25/23, $181.84 ,44951,
1/26/23, $183.51 ,44952,
1/27/23, $180.45 ,44953,
1/30/23, $180.18 ,44956,
1/31/23, $181.84 ,44957,
2/1/23, $183.60 ,44958,
2/2/23, $182.31 ,44959,
2/3/23, $180.09 ,,
