Player,Team,Pos,Market,Line,Over,Under,No-Vig Over %,Hold %,Book,As Of (UTC)
Travis Kelce,KC,TE,Receiving Yards,675.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Travis Kelce,KC,TE,Receiving TDs,4.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Tre Tucker,LV,WR,Receiving Yards,575.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
TreVeyon Henderson,NE,RB,Rushing Yards,700.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
TreVeyon Henderson,NE,RB,Rushing Yards,700.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
TreVeyon Henderson,NE,RB,Rushing TDs,5.5,-102,-130,47.2%,7.0%,FanDuel,2026-08-18T00:38:27
TreVeyon Henderson,NE,RB,Rushing TDs,6.5,+125,-152,42.4%,4.8%,BetRivers,2026-08-18T00:38:27
Trevor Lawrence,JAX,QB,Passing Yards,3750.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Trevor Lawrence,JAX,QB,Passing Yards,3750.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Trevor Lawrence,JAX,QB,Passing TDs,25.5,-102,-130,47.2%,7.0%,FanDuel,2026-08-18T00:38:27
Trey McBride,ARI,TE,Receptions,98.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Trey McBride,ARI,TE,Receiving Yards,950.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Trey McBride,ARI,TE,Receiving Yards,950.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Trey McBride,ARI,TE,Receiving TDs,6.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Tucker Kraft,GB,TE,Receiving Yards,700.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Tucker Kraft,GB,TE,Receiving TDs,5.5,+105,-127,46.6%,4.7%,BetRivers,2026-08-18T00:38:27
Tyler Shough,NO,QB,Passing Yards,3400.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Tyler Shough,NO,QB,Passing Yards,3500.5,-112,-112,50.0%,5.7%,BetRivers,2026-08-18T00:38:27
Tyler Shough,NO,QB,Passing TDs,19.5,-148,+112,55.9%,6.8%,FanDuel,2026-08-18T00:38:27
Tyler Warren,IND,TE,Receptions,75.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Tyler Warren,IND,TE,Receiving Yards,750.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Tyler Warren,IND,TE,Receiving Yards,750.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Tyler Warren,IND,TE,Receiving TDs,4.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Wan'Dale Robinson,TEN,WR,Receiving Yards,700.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Xavier Worthy,KC,WR,Receiving Yards,650.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Zay Flowers,BAL,WR,Receptions,75.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Zay Flowers,BAL,WR,Receiving Yards,975.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Zay Flowers,BAL,WR,Receiving Yards,1000.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Zay Flowers,BAL,WR,Receiving TDs,5.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
