Player,Team,Pos,Market,Line,Over,Under,No-Vig Over %,Hold %,Book,As Of (UTC)
George Kittle,SF,TE,Receiving Yards,700.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
George Kittle,SF,TE,Receiving Yards,700.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
George Kittle,SF,TE,Receiving TDs,5.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
George Pickens,DAL,WR,Receptions,77.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
George Pickens,DAL,WR,Receiving Yards,1000.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
George Pickens,DAL,WR,Receiving Yards,1050.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
George Pickens,DAL,WR,Receiving TDs,7.5,+115,-139,44.4%,4.7%,BetRivers,2026-08-18T00:38:27
Harold Fannin Jr.,CLE,TE,Receiving Yards,675.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
J.K. Dobbins,DEN,RB,Rushing Yards,675.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
J.K. Dobbins,DEN,RB,Rushing Yards,700.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
J.K. Dobbins,DEN,RB,Rushing TDs,5.5,+110,-134,45.4%,4.9%,BetRivers,2026-08-18T00:38:27
Ja'Marr Chase,CIN,WR,Receptions,109.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Ja'Marr Chase,CIN,WR,Receiving Yards,1325.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Ja'Marr Chase,CIN,WR,Receiving Yards,1325.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Ja'Marr Chase,CIN,WR,Receiving TDs,10.5,+115,-139,44.4%,4.7%,BetRivers,2026-08-18T00:38:27
Jacory Croskey-Merritt,WAS,RB,Rushing Yards,600.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jadarian Price,SEA,RB,Rushing Yards,750.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Jahmyr Gibbs,DET,RB,Rushing Yards,1200.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Jahmyr Gibbs,DET,RB,Rushing Yards,1200.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jahmyr Gibbs,DET,RB,Rushing TDs,11.5,-136,+102,53.8%,7.1%,FanDuel,2026-08-18T00:38:27
Jahmyr Gibbs,DET,RB,Rushing TDs,12.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Jahmyr Gibbs,DET,RB,Receptions,60.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jahmyr Gibbs,DET,RB,Receiving Yards,475.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jahmyr Gibbs,DET,RB,Receiving Yards,475.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jahmyr Gibbs,DET,RB,Receiving TDs,3.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Jake Ferguson,DAL,TE,Receiving Yards,525.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Jake Ferguson,DAL,TE,Receiving TDs,4.5,-127,+105,53.4%,4.7%,BetRivers,2026-08-18T00:38:27
Jakobi Meyers,JAX,WR,Receiving Yards,675.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jalen Coker,CAR,WR,Receiving Yards,625.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Jalen Hurts,PHI,QB,Passing Yards,3150.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jalen Hurts,PHI,QB,Passing Yards,3250.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Jalen Hurts,PHI,QB,Passing TDs,21.5,-122,-108,51.4%,6.9%,FanDuel,2026-08-18T00:38:27
Jalen Hurts,PHI,QB,Rushing Yards,400.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jalen Hurts,PHI,QB,Rushing Yards,400.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jalen Hurts,PHI,QB,Rushing TDs,7.5,-148,+112,55.9%,6.8%,FanDuel,2026-08-18T00:38:27
Jalen Hurts,PHI,QB,Rushing TDs,8.5,+115,-139,44.4%,4.7%,BetRivers,2026-08-18T00:38:27
James Cook,BUF,RB,Rushing Yards,1175.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
James Cook,BUF,RB,Rushing Yards,1250.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
James Cook,BUF,RB,Rushing TDs,10.5,+110,-134,45.4%,4.9%,BetRivers,2026-08-18T00:38:27
James Cook,BUF,RB,Rushing TDs,10.5,+106,-140,45.4%,6.9%,FanDuel,2026-08-18T00:38:27
Jameson Williams,DET,WR,Receiving Yards,900.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jameson Williams,DET,WR,Receiving Yards,900.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jameson Williams,DET,WR,Receiving TDs,5.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Jared Goff,DET,QB,Passing Yards,4000.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Jared Goff,DET,QB,Passing Yards,4050.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jared Goff,DET,QB,Passing TDs,29.5,-108,-122,48.6%,6.9%,FanDuel,2026-08-18T00:38:27
Javonte Williams,DAL,RB,Rushing Yards,925.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Javonte Williams,DAL,RB,Rushing Yards,950.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Javonte Williams,DAL,RB,Rushing TDs,9.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Javonte Williams,DAL,RB,Rushing TDs,9.5,-128,-104,52.4%,7.1%,FanDuel,2026-08-18T00:38:27
Jaxon Smith-Njigba,SEA,WR,Receptions,99.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jaxon Smith-Njigba,SEA,WR,Receiving Yards,1325.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Jaxon Smith-Njigba,SEA,WR,Receiving Yards,1350.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jaxon Smith-Njigba,SEA,WR,Receiving TDs,8.5,+105,-127,46.6%,4.7%,BetRivers,2026-08-18T00:38:27
Jaxson Dart,NYG,QB,Passing Yards,3100.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jaxson Dart,NYG,QB,Passing Yards,3150.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jaxson Dart,NYG,QB,Passing TDs,19.5,-108,-122,48.6%,6.9%,FanDuel,2026-08-18T00:38:27
Jaxson Dart,NYG,QB,Rushing Yards,450.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jaxson Dart,NYG,QB,Rushing Yards,475.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jaxson Dart,NYG,QB,Rushing TDs,5.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Jaxson Dart,NYG,QB,Rushing TDs,5.5,-118,-112,50.6%,7.0%,FanDuel,2026-08-18T00:38:27
Jayden Daniels,WAS,QB,Passing Yards,3200.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jayden Daniels,WAS,QB,Passing Yards,3200.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jayden Daniels,WAS,QB,Passing TDs,21.5,-102,-130,47.2%,7.0%,FanDuel,2026-08-18T00:38:27
Jayden Daniels,WAS,QB,Rushing Yards,575.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Jayden Daniels,WAS,QB,Rushing TDs,4.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Jayden Higgins,HOU,WR,Receiving Yards,575.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Jayden Reed,GB,WR,Receiving Yards,650.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Jaylen Waddle,DEN,WR,Receiving Yards,900.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Jaylen Waddle,DEN,WR,Receiving Yards,925.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jaylen Waddle,DEN,WR,Receiving TDs,5.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Jaylen Warren,PIT,RB,Rushing Yards,600.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Jaylen Warren,PIT,RB,Rushing Yards,625.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jeremiyah Love,ARI,RB,Rushing Yards,775.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jeremiyah Love,ARI,RB,Rushing TDs,5.5,-122,-108,51.4%,6.9%,FanDuel,2026-08-18T00:38:27
Jerry Jeudy,CLE,WR,Receiving Yards,550.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Joe Burrow,CIN,QB,Passing Yards,3950.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Joe Burrow,CIN,QB,Passing TDs,32.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jonathan Taylor,IND,RB,Rushing Yards,1225.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jonathan Taylor,IND,RB,Rushing Yards,1250.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jonathan Taylor,IND,RB,Rushing TDs,11.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Jonathan Taylor,IND,RB,Rushing TDs,11.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jordan Addison,MIN,WR,Receiving Yards,650.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Jordan Addison,MIN,WR,Receiving TDs,4.5,+105,-127,46.6%,4.7%,BetRivers,2026-08-18T00:38:27
Jordan Love,GB,QB,Passing Yards,3500.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Jordan Love,GB,QB,Passing Yards,3500.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Jordan Love,GB,QB,Passing TDs,24.5,-102,-130,47.2%,7.0%,FanDuel,2026-08-18T00:38:27
Jordan Mason,MIN,RB,Rushing Yards,650.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Josh Allen,BUF,QB,Passing Yards,3600.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Josh Allen,BUF,QB,Passing Yards,3600.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Josh Allen,BUF,QB,Passing TDs,24.5,-120,-110,51.0%,6.9%,FanDuel,2026-08-18T00:38:27
Josh Allen,BUF,QB,Rushing Yards,500.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Josh Allen,BUF,QB,Rushing Yards,500.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Josh Allen,BUF,QB,Rushing TDs,10.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Josh Allen,BUF,QB,Rushing TDs,10.5,-128,-104,52.4%,7.1%,FanDuel,2026-08-18T00:38:27
Josh Downs,IND,WR,Receiving Yards,775.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Justin Herbert,LAC,QB,Passing Yards,3500.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Justin Herbert,LAC,QB,Passing Yards,3500.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Justin Herbert,LAC,QB,Passing TDs,25.5,-108,-122,48.6%,6.9%,FanDuel,2026-08-18T00:38:27
Justin Jefferson,MIN,WR,Receptions,91.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Justin Jefferson,MIN,WR,Receiving Yards,1150.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Justin Jefferson,MIN,WR,Receiving Yards,1200.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Justin Jefferson,MIN,WR,Receiving TDs,7.5,+105,-127,46.6%,4.7%,BetRivers,2026-08-18T00:38:27
Juwan Johnson,NO,TE,Receiving Yards,575.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
KC Concepcion,CLE,WR,Receiving Yards,600.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
KC Concepcion,CLE,WR,Receiving Yards,625.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Kenneth Walker,KC,RB,Rushing Yards,925.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Kenneth Walker III,KC,RB,Rushing Yards,925.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Kenneth Walker III,KC,RB,Rushing TDs,7.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Kenneth Walker III,KC,RB,Rushing TDs,7.5,-102,-130,47.2%,7.0%,FanDuel,2026-08-18T00:38:27
Khalil Shakir,BUF,WR,Receiving Yards,625.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Kyle Pitts,ATL,TE,Receiving Yards,725.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Kyle Pitts,ATL,TE,Receiving Yards,775.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Kyle Pitts,ATL,TE,Receiving TDs,4.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Kyler Murray,MIN,QB,Passing Yards,3000.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Kyren Williams,LAR,RB,Rushing Yards,925.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Kyren Williams,LAR,RB,Rushing Yards,975.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Kyren Williams,LAR,RB,Rushing TDs,9.5,-127,+105,53.4%,4.7%,BetRivers,2026-08-18T00:38:27
Ladd McConkey,LAC,WR,Receptions,72.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Ladd McConkey,LAC,WR,Receiving Yards,875.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Ladd McConkey,LAC,WR,Receiving Yards,900.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Ladd McConkey,LAC,WR,Receiving TDs,5.5,-148,+120,56.8%,5.1%,BetRivers,2026-08-18T00:38:27
Lamar Jackson,BAL,QB,Passing Yards,3200.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Lamar Jackson,BAL,QB,Passing Yards,3250.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Lamar Jackson,BAL,QB,Passing TDs,24.5,+104,-138,45.8%,7.0%,FanDuel,2026-08-18T00:38:27
Lamar Jackson,BAL,QB,Rushing Yards,525.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Lamar Jackson,BAL,QB,Rushing Yards,575.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Lamar Jackson,BAL,QB,Rushing TDs,3.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Lamar Jackson,BAL,QB,Rushing TDs,3.5,-130,-102,52.8%,7.0%,FanDuel,2026-08-18T00:38:27
Luther Burden III,CHI,WR,Receptions,64.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Luther Burden III,CHI,WR,Receiving Yards,850.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Luther Burden III,CHI,WR,Receiving TDs,4.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
Makai Lemon,PHI,WR,Receiving Yards,575.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Malik Willis,MIA,QB,Passing Yards,3000.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Mark Andrews,BAL,TE,Receiving Yards,500.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Mark Andrews,BAL,TE,Receiving Yards,500.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Mark Andrews,BAL,TE,Receiving TDs,5.5,-127,+105,53.4%,4.7%,BetRivers,2026-08-18T00:38:27
Marvin Harrison Jr.,ARI,WR,Receiving Yards,825.5,+100,-121,47.7%,4.8%,BetRivers,2026-08-18T00:38:27
Marvin Harrison Jr.,ARI,WR,Receiving Yards,825.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Marvin Harrison Jr.,ARI,WR,Receiving TDs,5.5,+120,-148,43.2%,5.1%,BetRivers,2026-08-18T00:38:27
Matthew Golden,GB,WR,Receiving Yards,650.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Matthew Stafford,LAR,QB,Passing Yards,3825.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Matthew Stafford,LAR,QB,Passing Yards,3850.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Matthew Stafford,LAR,QB,Passing TDs,29.5,-132,+100,53.2%,6.9%,FanDuel,2026-08-18T00:38:27
Michael Pittman Jr.,PIT,WR,Receiving Yards,725.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Michael Pittman Jr.,PIT,WR,Receiving Yards,725.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Michael Pittman Jr.,PIT,WR,Receiving TDs,4.5,+120,-148,43.2%,5.1%,BetRivers,2026-08-18T00:38:27
Michael Wilson,ARI,WR,Receiving Yards,700.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Mike Evans,SF,WR,Receiving Yards,800.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Mike Evans,SF,WR,Receiving Yards,800.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Mike Evans,SF,WR,Receiving TDs,6.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Nico Collins,HOU,WR,Receptions,70.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Nico Collins,HOU,WR,Receiving Yards,1050.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Nico Collins,HOU,WR,Receiving Yards,1100.5,-106,-115,49.0%,4.9%,BetRivers,2026-08-18T00:38:27
Nico Collins,HOU,WR,Receiving TDs,6.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Omar Cooper Jr.,NYJ,WR,Receiving Yards,450.5,-110,-110,50.0%,4.8%,BetRivers,2026-08-18T00:38:27
Omar Cooper Jr.,NYJ,WR,Receiving Yards,455.5,-114,-114,50.0%,6.5%,FanDuel,2026-08-18T00:38:27
Omarion Hampton,LAC,RB,Rushing Yards,925.5,-115,-106,51.0%,4.9%,BetRivers,2026-08-18T00:38:27
Omarion Hampton,LAC,RB,Rushing TDs,7.5,-134,+110,54.6%,4.9%,BetRivers,2026-08-18T00:38:27
Parker Washington,JAX,WR,Receiving Yards,800.5,-121,+100,52.3%,4.8%,BetRivers,2026-08-18T00:38:27
